Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Mother's qualification,Father's occupation,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Target,Curricular 1st and 2nd sem PCA
1,8,5,2,1,1,13,10,1,0,0,1,1,0,20,0,True,-21.116404383116027
1,6,1,11,1,1,1,4,1,0,0,0,1,0,19,0,False,2.514828524967392
1,1,5,5,1,1,22,10,1,0,0,0,1,0,19,0,True,-18.82623156120867
1,8,2,15,1,1,23,4,1,0,0,1,0,0,20,0,False,3.313201314073609
2,12,1,3,0,1,22,10,0,0,0,1,0,0,45,0,False,2.076791209597225
2,12,1,17,0,12,22,8,0,0,1,1,1,0,50,0,False,4.432341019650465
1,1,1,12,1,1,13,11,1,0,0,1,0,1,18,0,False,5.6740058318596915
1,9,4,11,1,1,22,10,1,0,0,0,1,0,22,0,True,-15.848610024831014
1,1,3,10,1,1,1,10,0,0,0,1,0,1,21,1,False,3.707043941320361
1,1,1,10,1,1,1,8,1,0,1,0,0,0,18,0,True,3.3872231523128633
1,1,1,14,1,1,23,8,1,0,0,1,0,0,18,0,False,2.033016878273557
1,1,1,12,1,1,13,10,1,0,0,1,0,1,18,0,False,4.624603589326533
1,1,2,16,1,1,13,10,1,0,0,1,0,0,19,0,True,-16.80846728443944
1,17,1,11,1,16,1,8,1,0,0,1,0,1,21,0,False,0.22865143584521164
1,1,1,6,1,1,23,6,1,0,0,1,0,1,18,0,False,0.003680478200880799
1,1,1,15,1,1,13,4,1,0,0,1,0,0,20,0,True,-6.611948936505211
1,9,1,10,1,1,13,9,1,0,0,1,0,0,18,0,False,1.4824135788297106
1,8,2,12,1,1,13,5,1,0,0,1,0,0,18,0,False,5.443000384631997
1,1,1,8,1,1,3,6,1,0,0,1,0,0,20,0,False,0.8242277902913635
1,1,1,16,1,1,13,8,1,0,0,1,0,0,18,0,False,2.7072658422961986
1,1,3,2,1,1,1,9,0,0,0,1,0,1,21,0,False,-21.116404383116027
1,9,4,13,1,1,1,8,1,0,0,1,0,0,20,0,False,5.3101364473935355
1,1,4,12,1,1,13,2,1,0,0,1,0,0,18,0,False,6.95924096354895
1,1,4,14,1,1,1,8,1,0,0,1,0,1,19,0,False,2.518844265748328
1,1,1,12,1,1,13,8,0,0,0,1,0,0,19,0,False,4.945335921952704
1,1,1,10,1,1,13,10,1,0,1,1,0,1,18,0,False,1.7888261803825962
1,8,2,10,1,1,13,9,1,0,0,1,0,0,21,0,False,3.0851793902291433
1,1,1,6,1,1,13,4,1,0,0,1,0,0,18,0,False,1.6031000676795237
1,1,1,9,1,1,13,10,1,0,0,1,0,0,20,0,False,-0.10993311514722848
1,8,2,12,1,1,3,11,1,0,0,1,1,0,19,0,False,3.7584705039652384
1,15,1,4,1,14,4,3,0,0,0,1,1,0,21,0,False,6.020308821419974
1,16,1,5,1,1,27,22,1,0,0,1,1,0,20,0,False,2.831409673988695
1,1,1,9,1,1,1,7,0,0,0,0,1,0,18,0,False,0.3363534460778723
1,9,1,3,0,1,13,6,1,0,0,1,0,0,19,0,False,2.913217053763642
1,1,1,17,0,1,2,10,0,0,0,1,1,0,34,0,False,1.6475835679160191
1,12,1,1,1,1,23,7,0,0,1,0,1,0,37,0,True,-8.329582424960348
1,12,1,7,1,8,19,1,1,0,0,1,1,0,43,0,True,-19.207927031526562
1,14,1,9,1,1,22,7,0,0,0,1,0,0,55,0,True,-1.3537236609533032
4,12,1,17,0,1,13,4,1,0,0,1,0,0,39,0,False,-0.6243844241853154
1,15,1,8,1,14,4,7,0,0,1,0,0,0,20,1,True,3.1197460122009026
1,1,5,15,1,1,3,3,0,0,1,1,0,0,18,0,True,-7.98865417397389
1,1,2,9,1,1,3,8,1,0,0,1,0,0,22,0,False,2.3253212383335686
1,1,6,12,1,1,1,3,1,1,0,1,0,0,22,0,False,5.387277542406576
1,8,1,15,1,1,1,6,0,0,0,0,0,0,20,0,True,1.8582366930390037
1,12,1,17,0,1,22,10,0,0,0,1,0,0,29,0,True,-19.207927031526562
1,8,1,17,0,1,23,6,0,0,0,1,0,0,24,0,False,1.8331144389662128
